标题,发布/编辑时间,赞同数,内容摘要,链接
如何评价人民网文章《请给AI起个好名》？,未知,0,不是，ai的中文不就是人工智能吗？ 就像as叫强袭机兵 ms叫机动战士一样 也不会有人有病到给这些简称再取一个名字吧………,https://www.zhihu.com/question/2017921081520989611/answer/2019994531458720209
女朋友明确说以后只能同甘，不能共苦怎么办?,未知,0,"女生很有意思的。 我cp这么一个在我遇到任何困难的时候都能帮我力挽狂澜的小姑娘，都讲过""我不喜欢吃苦。"" 其实女生对吃不吃苦的理解和男生是有点不一样的。 我有段时间很缺很缺钱，因为那年我问我爸要了笔钱说要创…",https://www.zhihu.com/question/1947643126148764337/answer/2019862779276862957
怎么才能认识舞蹈生？,未知,0,这事情蛮简单的，我从小总结出来的经验： 你想认识礼仪队的妹子就让自己也进礼仪队，你想认识舞蹈生就让自己也进舞蹈社，啊，进模特班也可以。 想认识coser最好的办法就是自己去当男coser。 你自己能混进这个圈子了想认识哪个就能认识哪个。…,https://www.zhihu.com/question/636848308/answer/2019837877320709763
六年级早恋有错吗？,未知,0,我就讲一句。 六年级不知道轻重的，她可能会判断错家里人回家的时候，然后你可能会被她手忙脚乱的锁在阳台上，塞进壁橱里，或者是让你想办法从三楼阳台跳下去…… 还好我当时只有四年级，壁橱里有足够的空气，我被她妈从壁橱里救出来的时候被衣服压的都快半昏迷了。 六年级的小姐姐可能真的没办法好好的罩着你。 所以我建议还是起码找高一的大姐姐吧…,https://www.zhihu.com/question/566267232/answer/2019821210914047329
疑似谈恋爱目的为骗吃骗喝的女友是否还有必要继续？,未知,0,朋友你绝对搞笑的。 不愿意给女朋友花钱这个没什么，扣逼也不是不配谈恋爱。 但是你惦记人家小姑娘的钱就真的……册那……讲你么我怕知乎删我。 册那娘额弄戆卵啊，人家三十万和你搭噶伐啦！毛病额册那，天天惦记人家小姑娘的钱做撒啦？就这种逼样了还惯萨浪头啊。 还看不起别人是新上海人册那，侬本地宁啊伐就是乡毋宁啊！真额，侬逼样是真的坍台啊…,https://www.zhihu.com/question/14274159224/answer/2019816191301006296
现在女性反感用‘贤惠’这个词语夸赞自己，这表明年轻一代女性什么样的立场呢，该用什么样的词语夸赞她们呢？,未知,0,"当然是""坏女人""啦，二次元一点也可以叫""小恶魔""。 反正，我发现用""小恶魔""来形容姑娘，她们会特别开心。 ""贤惠""和""经济适用""一样都是一种很利它很自我矮化的形容词。 而且这两种形容不仅会让自己显得一无是处，甚至是需要这两种属性的人都优秀不到哪里去。 于是这种属性就更加low上加low了。 女人不贤惠男人会希望你贤惠，你真贤惠了…",https://www.zhihu.com/question/1994749024427852558/answer/2019707523695953894
男性的长相到底有多重要？,未知,0,长相这东西有个巨大的问题。 就是假如你长得还行，那么你得到的所有东西都会被归结为你的长相。 你人缘好是因为你长得好。 有漂亮姑娘喜欢你是因为你长得好看 甚至你收到陌生人的小礼物也能被归结于你长相好。 这就相当不…,https://www.zhihu.com/question/22879760/answer/2019563449659729614
你被哪个后来知道很sb的BUG困扰过一周以上吗？,未知,0,高中暑假里和当时的女朋友几乎天天腻腻歪歪的。 我们两个都是田径队的ACE，两个体力怪物碰到一起，那真是做爱做到天昏地暗，不知天地为何物了。 然后回到家第二天晚上开始我就发现下面很痛，我以为是做多了破皮了，但是检查了一下也没有。 结果后面几天就一直很难受，软的时候不去碰就不疼，但是只要稍微硬起来一点就会开始隐隐约约的痛，不仅痛…,https://www.zhihu.com/question/535225379/answer/2019547944446075230
被丑男追是一种什么样的体验？,未知,0,"我在床上听到过太多女生对于追过自己的长得不太好看男生的吐槽了。 她们甚至会把对方的容貌和体型当成做爱间歇聊天调情的小玩笑。 比如我学妹，她每次上床前都超爱挑衅我，结果每次输了以后又会耍赖抱怨我怎么软不下去。 这种时候我就会笑话她太废物了，年纪轻轻的体力怎么那么差。 然后她就会气鼓鼓的说""怎么都不会软是么？哈，那我变成xxx啦！…",https://www.zhihu.com/question/332488916/answer/2019538921151812867
现在美女还是稀缺资源吗？,未知,0,美女从来不是什么稀缺资源，天然美女也不是，年轻的美少女都不算什么稀缺资源，地球人口那么多，找漂亮的不难。 既聪明又漂亮的美少女都不算稀缺资源。我这辈子遇到过不少又聪明又漂亮的姑娘。 又聪明又漂亮又有钱也不…,https://www.zhihu.com/question/1938905407943873880/answer/2019479513562620901
为什么会有男人喜欢小骨架的女性？,未知,0,无他，小骨架容错率高。 因为肌肉和脂肪有更多的空间塑造出外观曲线。 人类在网上总爱彰显自己的性癖是多种多样的以此来展现自己的与众不同。 但是放到现实里，一个纤腰长腿薄背小脚的年轻女孩子，对男人总归是有吸引力的。 通俗意义上的腿神一般都是小骨架，因为只有小骨架脚踝才会细，脚踝细了小腿才会显得笔直纤细，这样的腿不一定会让所有人沉迷…,https://www.zhihu.com/question/2015075692421874196/answer/2019476256098381912
